"filename", "language", "JSON", "Properties", "XML", "YAML", "JSON with Comments", "MS SQL", "JavaScript", "TypeScript", "Markdown", "HTML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"/workspaces/BossOS/src/lib/api/clients.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/workspaces/BossOS/src/lib/api/estimates.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 8, 8, 46
"/workspaces/BossOS/src/lib/api/inventory.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/workspaces/BossOS/src/lib/api/invoices.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"/workspaces/BossOS/src/lib/api/jobs.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"/workspaces/BossOS/src/lib/api/leads.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 3, 24
"/workspaces/BossOS/src/lib/api/payments.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/workspaces/BossOS/src/lib/api/plans.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/workspaces/BossOS/src/lib/api/pricebook.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/workspaces/BossOS/src/lib/supabase/client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 4, 13
"/workspaces/BossOS/src/lib/utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"/workspaces/BossOS/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 18, 20, 303
